ts,best_bid,bid_size,best_ask,ask_size,mid
1787313519.9,ERR,HTTP Error 404: Not Found,,,
1787313525.2,ERR,HTTP Error 404: Not Found,,,
1787313530.6,ERR,HTTP Error 404: Not Found,,,
1787313536.0,ERR,HTTP Error 404: Not Found,,,
1787313541.4,ERR,HTTP Error 404: Not Found,,,
1787313546.7,ERR,HTTP Error 404: Not Found,,,
1787313552.1,ERR,HTTP Error 404: Not Found,,,
1787313557.4,ERR,HTTP Error 404: Not Found,,,
1787313562.8,ERR,HTTP Error 404: Not Found,,,
1787313568.2,ERR,HTTP Error 404: Not Found,,,
1787313573.5,ERR,HTTP Error 404: Not Found,,,
1787313578.8,ERR,HTTP Error 404: Not Found,,,
1787313584.2,ERR,HTTP Error 404: Not Found,,,
1787313589.6,ERR,HTTP Error 404: Not Found,,,
1787313594.9,ERR,HTTP Error 404: Not Found,,,
1787313600.2,ERR,HTTP Error 404: Not Found,,,
1787313605.6,ERR,HTTP Error 404: Not Found,,,
1787313611.0,ERR,HTTP Error 404: Not Found,,,
1787313616.3,ERR,HTTP Error 404: Not Found,,,
1787313621.7,ERR,HTTP Error 404: Not Found,,,
1787313627.0,ERR,HTTP Error 404: Not Found,,,
1787313632.3,ERR,HTTP Error 404: Not Found,,,
1787313637.7,ERR,HTTP Error 404: Not Found,,,
1787313643.0,ERR,HTTP Error 404: Not Found,,,
1787313648.4,ERR,HTTP Error 404: Not Found,,,
1787313653.7,ERR,HTTP Error 404: Not Found,,,
1787313659.1,ERR,HTTP Error 404: Not Found,,,
1787313664.5,ERR,HTTP Error 404: Not Found,,,
1787313669.8,ERR,HTTP Error 404: Not Found,,,
1787313675.2,ERR,HTTP Error 404: Not Found,,,
1787313680.5,ERR,HTTP Error 404: Not Found,,,
1787313685.9,ERR,HTTP Error 404: Not Found,,,
1787313691.2,ERR,HTTP Error 404: Not Found,,,
1787313696.6,ERR,HTTP Error 404: Not Found,,,
1787313701.9,ERR,HTTP Error 404: Not Found,,,
1787313707.3,ERR,HTTP Error 404: Not Found,,,
1787313712.6,ERR,HTTP Error 404: Not Found,,,
1787313718.0,ERR,HTTP Error 404: Not Found,,,
1787313723.3,ERR,HTTP Error 404: Not Found,,,
1787313728.7,ERR,HTTP Error 404: Not Found,,,
1787313734.0,ERR,HTTP Error 404: Not Found,,,
1787313739.4,ERR,HTTP Error 404: Not Found,,,
1787313744.8,ERR,HTTP Error 404: Not Found,,,
1787313750.1,ERR,HTTP Error 404: Not Found,,,
1787313755.5,ERR,HTTP Error 404: Not Found,,,
1787313760.8,ERR,HTTP Error 404: Not Found,,,
